File_Number,Composer,Title,Genre,Difficulty,Pages,Duration,Piano_Only,Download_Status,URL,Monophonic,Instruments
1,Frédéric Chopin,"Nocturnes, Op.9",Classical,Advanced,4.0,3:40,Yes,,https://musescore.com/user/6662591/scores/4383881,No,Piano
2,Johann Sebastian Bach,"Prelude No. 2 In C Minor (BWV 846) (from The ""Well-Tempered Clavier""; [1st Book])",Classical,Beginner,2.0,1:59,Yes,,https://musescore.com/user/101554/scores/117279,No,Piano
3,Paul De Senneville,Mariage D'Amour,Classical,Intermediate,7.0,4:26,Yes,,https://musescore.com/user/29754108/scores/5739597,No,Piano
4,Scott Joplin,Maple Leaf Rag,Jazz,Intermediate,4.0,2:53,Yes,,https://musescore.com/user/116681/scores/145724,No,Piano
5,Johann Pachelbel,"Canon And Gigue In D Major, P.37",Classical,Beginner,2.0,2:07,Yes,,https://musescore.com/user/3349846/scores/1376056,No,Piano
6,Johann Sebastian Bach,"Minuet In G Major, BWV Anh.114",Classical,Beginner,1.0,1:31,Yes,,https://musescore.com/user/9292486/scores/2086106,No,Piano
7,Erik Satie,3 Gymnopédies,Classical,,2.0,3:05,Yes,,https://musescore.com/user/110059/scores/980686,No,Piano
8,Antonio Vivaldi,The Four Seasons - Winter,Classical,Advanced,9.0,8:04,Yes,,https://musescore.com/user/38606/scores/3476921,No,Piano
9,Johann Pachelbel,"Chaconne In C Major, P.38",Classical,Intermediate,5.0,5:19,Yes,,https://musescore.com/user/13313581/scores/2912641,No,Piano
10,Christian Petzold,Minuet In G Minor Notebooks For Anna Magdalena Bach BWV Anhang 115,Classical,Beginner,1.0,1:36,Yes,,https://musescore.com/user/9292486/scores/2086136,No,Piano
11,Antonio Vivaldi,Le Quattro Stagioni,Classical,Advanced,7.0,3:10,Yes,,https://musescore.com/user/9141191/scores/5498538,No,Piano
12,Misc Traditional,Boogie Woogie,Folk,Intermediate,2.0,1:40,Yes,,https://musescore.com/user/9465681/scores/3049456,No,Piano
13,Frédéric Chopin,"Piano Sonata No.2, Op.35",Classical,Intermediate,5.0,9:00,Yes,,https://musescore.com/user/2784/scores/3024,No,Piano
14,Sergei Rachmaninoff,"Rhapsody On A Theme Of Paganini, Op.43",Classical,Advanced,3.0,2:06,Yes,,https://musescore.com/user/20471816/scores/5592161,No,Piano
15,Vittorio Monti,Csárdás,Classical,,7.0,4:43,No,,https://musescore.com/user/155158/scores/4351976,No,"Violin,Piano"
16,Sergei Rachmaninoff,"Piano Concerto No.2, Op.18",Classical,Advanced,6.0,10:45,Yes,,https://musescore.com/user/32106469/scores/6078161,No,Piano
17,Frédéric Chopin,"Nocturnes, Op.9",Classical,,8.0,4:25,Yes,,https://musescore.com/user/46295/scores/5587994,No,Piano
